constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
1.0,1.0,0.4812811111,165,0.01,20.0,0.0,0.5691421893,0.439305391,0.85,0,2.566,ok,60.0,20.0
1.0,1.0,0.4713480243,166,0.02,20.0,0.0,0.5575536123,0.4310279396,0.85,0,2.302,ok,60.0,20.0
1.0,1.0,0.4778063667,167,0.01,20.0,0.0,0.5652668108,0.4373022203,0.9,0,2.503,ok,60.0,20.0
1.0,1.0,0.4623737533,168,0.02,20.0,0.0,0.5477780729,0.4270215983,0.9,0,2.303,ok,60.0,20.0
1.0,1.0,0.3083484105,169,0.01,20.0,0.0,0.3617943362,0.2672296286,0.85,0,2.285,ok,30.0,30.0
1.0,1.0,0.2848500742,170,0.02,20.0,0.0,0.3366405096,0.2589521772,0.85,0,2.439,ok,30.0,30.0
1.0,1.0,0.3071553156,171,0.01,20.0,0.0,0.3602006072,0.2652264579,0.9,0,2.192,ok,30.0,30.0
1.0,1.0,0.2781929996,172,0.02,20.0,0.0,0.3291821668,0.2549458358,0.9,0,2.502,ok,30.0,30.0
1.0,1.0,0.4169270935,173,0.01,20.0,0.0,0.5249890855,0.5403099599,0.85,0,2.228,ok,60.0,30.0
1.0,1.0,0.413707702,174,0.02,20.0,0.0,0.5201142037,0.5320325086,0.85,0,2.539,ok,60.0,30.0
1.0,1.0,0.4139373613,175,0.01,20.0,0.0,0.5215987192,0.5383067893,0.9,0,2.284,ok,60.0,30.0
1.0,1.0,0.4057034553,176,0.02,20.0,0.0,0.5113086888,0.5280261672,0.9,0,2.195,ok,60.0,30.0
1.0,1.0,0.5816767992,177,0.01,20.0,0.0,0.6632705097,0.4079685523,0.85,0,2.522,ok,30.0,45.0
1.0,1.0,0.5802233736,178,0.02,20.0,0.0,0.6601615938,0.3996911009,0.85,0,2.219,ok,30.0,45.0
1.0,1.0,0.5837932552,179,0.01,20.0,0.0,0.6649863316,0.4059653816,0.9,0,2.5,ok,30.0,45.0
1.0,1.0,0.5817297154,180,0.02,20.0,0.0,0.6608666673,0.3956847596,0.9,0,2.223,ok,30.0,45.0
1.0,1.0,0.2587804366,181,0.01,20.0,0.0,0.3865950894,0.6390732637,0.85,0,2.535,ok,60.0,45.0
1.0,1.0,0.2666926457,182,0.02,20.0,0.0,0.3928518082,0.6307958123,0.85,0,2.203,ok,60.0,45.0
1.0,1.0,0.2568580285,183,0.01,20.0,0.0,0.3842720471,0.637070093,0.9,0,2.693,ok,60.0,45.0
1.0,1.0,0.2608230471,184,0.02,20.0,0.0,0.3861809413,0.6267894709,0.9,0,2.233,ok,60.0,45.0
1.0,1.0,0.4328300337,185,0.01,20.0,0.0,0.5458327757,0.5650137099,0.85,0,2.51,ok,30.0,60.0
1.0,1.0,0.4464530592,186,0.02,20.0,0.0,0.5578003109,0.5567362585,0.85,0,2.272,ok,30.0,60.0
1.0,1.0,0.4371426053,187,0.01,20.0,0.0,0.5497447131,0.5630105392,0.9,0,2.187,ok,30.0,60.0
1.0,1.0,0.4530375841,188,0.02,20.0,0.0,0.5635835675,0.5527299171,0.9,0,2.507,ok,30.0,60.0
